Contour,Area,Aspect Ratio,x-centroid,y-centroid,x-size,y-size,Path Length,Normalized Curvature,trainModel (normalized mode 1),trainModel (normalized mode 2),trainModel (normalized mode 3),trainModel (normalized mode 4)
u10016,10421.7,1.2246,65.4228,51.1875,129.189,105.495,391.008,135.212,-0.69845,-0.162905,-0.783552,0.230187
u10017,9425.62,1.07254,58.3961,60.6845,119.109,111.053,376.858,190.927,-1.14779,-0.660425,-0.0660167,-0.126334
u10018,9668.87,1.12225,59.2101,64.0801,124.566,110.996,404.374,116.763,-1.0062,-0.040193,-0.100103,0.680976
u10019,13055.3,1.31668,58.5236,77.5303,154.201,117.114,441.623,113.797,0.249414,0.176431,-1.09899,-0.810701
u1002,17222.1,1.0906,83.3225,78.2989,170.211,156.071,601.226,129.936,1.28764,0.723105,2.12701,4.47879
u10020,13251.5,1.24503,65.4008,75.9837,150.491,120.873,447.601,107.226,0.261208,-0.392278,-0.86745,-0.222316
u10021,13368.2,1.44538,72.4485,73.0623,157.859,109.216,455.586,111.791,0.466251,1.08184,-1.51297,-0.192537
u10022,14184,1.12842,76.1288,64.6175,146.135,129.505,444.119,94.6256,0.513462,-0.689747,-0.0295683,-0.108401
u10023,13071.9,1.19826,72.8179,61.6776,143.381,119.657,429.764,95.8698,0.198942,-0.347533,-0.707916,0.150516
u10024,14414.9,1.40296,75.1322,85.8157,179.116,127.67,509.277,99.7804,0.897131,1.23119,-1.28723,1.93063
u10025,12309.9,1.12985,62.2736,71.0576,139.593,123.55,420.365,110.026,-0.0821538,-0.509356,-0.288011,-0.60301
u10026,15910,1.66408,89.0984,69.3435,190.191,114.292,508.929,85.5284,1.40448,1.66096,-2.86689,-0.813805
u10027,14906.2,1.19815,78.3951,67.4506,158.516,132.3,462.988,97.0074,0.776037,-0.468686,-0.405288,-0.318131
u10028,13145.6,1.34122,78.1988,58.3277,156.014,116.323,449.11,93.3531,0.314608,0.316877,-1.66299,0.897032
u10029,13759.7,1.43154,71.5627,69.8158,158.613,110.799,449.886,104.272,0.559362,0.816556,-1.32118,-0.381558
u1003,14571.2,1.15771,74.7031,67.0322,151.349,130.731,454.875,106.983,0.636503,-0.661737,-0.424942,-0.640694
u10030,11846.6,1.11835,59.501,65.5717,130.771,116.932,409.216,129.636,-0.244392,-0.55571,-0.275319,0.12378
u10031,17603.8,1.05714,78.6786,79.4112,157.777,149.25,501.394,132.101,1.49627,-1.19963,0.312088,-0.332142
u10032,8821.29,1.04039,59.3718,53.5791,110.206,105.928,358.343,133.632,-1.36805,-0.458948,0.196191,0.0964292
u10033,13436.7,1.08672,77.0672,67.2798,142.699,131.311,461.458,91.8549,0.326424,0.0139225,0.912148,-0.791195
u10034,11588.3,1.05782,67.1216,62.5095,126.738,119.81,417.3,120.653,-0.331907,-0.447596,0.307387,0.16799
u10035,9160.83,1.0624,56.4182,58.2993,113.268,106.615,364.119,117.056,-1.25887,-0.744272,-0.0323473,0.260554
u10036,11360.4,1.17655,66.8583,57.4611,133.627,113.575,404.71,99.3652,-0.401576,-0.433813,-0.394857,-0.695207
u10037,12972.8,1.08197,71.6723,70.5959,135.74,125.456,441.469,82.5318,0.103736,-0.832765,0.133552,0.354844
u10038,13846.3,1.10803,73.2529,69.7995,141.86,128.029,456.12,127.252,0.427376,-0.631842,-0.119609,-0.391539
u10039,13802.1,1.0408,64.5372,72.6053,140.74,135.223,443.29,109.739,0.359602,-0.971084,0.295481,-0.0999178
u1004,7715.79,1.03326,51.6233,51.5765,102.362,99.0668,326.108,100.016,-1.84193,-0.596377,-0.106432,0.14128
u10040,12958.9,1.25822,59.9538,74.8953,149.128,118.523,446.481,85.7175,0.238065,0.761836,-0.0601715,-0.904201
u10041,15698.2,1.18303,92.5281,75.2736,165.323,139.745,570.776,127.356,0.599766,2.28009,3.55434,-3.80441
u10042,10476.8,1.15299,59.6016,59.8172,125.47,108.821,386.034,112.094,-0.725765,-0.394933,-0.248438,-0.225737
u10043,11017.6,1.11112,65.9286,59.7662,131.038,117.934,396.212,114.281,-0.540024,-0.644607,-0.407052,0.0727599
u10044,12821.2,1.26796,60.4468,76.3951,154.131,121.558,475.524,190.467,0.173829,0.756877,0.0615028,-1.91256
u10045,14260,1.10547,73.087,69.0955,143.374,129.695,453.649,97.6525,0.539599,-0.7241,-0.412138,-0.0313792
u10046,7378.87,1.0614,48.7831,51.4876,102.782,96.8366,333.128,171.845,-1.98256,-0.522644,-0.00411363,-0.569606
u10047,11435.8,1.07808,64.52,61.3292,128.743,119.419,399.181,94.8953,-0.424021,-0.930548,0.0298401,0.255771
u10048,13191.4,1.00784,67.2761,64.3775,133.748,132.707,423.932,96.8625,0.14399,-1.23162,0.185332,0.191326
u10049,11963.7,1.14652,66.0975,64.8684,135.829,118.47,433.956,138.023,-0.215095,-0.555729,-0.0594358,-0.473004
u1005,10410,1.01962,60.378,62.1104,119.959,117.651,384.193,120.415,-0.803804,-0.994579,0.360656,-0.255127
u10050,12063.8,1.21251,64.5608,68.0131,140.913,116.216,423.633,143.296,-0.129242,-0.247419,-0.636411,-0.101982
u10051,14110.2,1.12251,72.9707,68.5914,144.771,128.971,444.406,103.485,0.485393,-0.78265,-0.303262,0.428693
u10052,19936.2,1.23728,106.858,91.8011,206.859,167.189,683.927,142.207,2.36539,1.53264,2.43172,2.29652
u10053,5082.14,1.27796,48.6475,40.3889,96.0025,75.1217,295.203,168.347,-2.99159,0.312632,-0.725467,1.11616
u10054,14024,1.18068,70.4909,71.5554,145.844,123.525,443.113,89.8723,0.492571,-0.491716,-0.535269,-0.256762
u10055,13063.1,1.16274,61.9502,75.0839,155.41,133.659,518.563,85.8666,0.000198356,2.94532,2.74902,-3.82453
u10056,12405.9,1.15866,71.0268,64.8603,137.907,119.023,428.748,121.074,-0.0381582,-0.45367,-0.461296,-0.23215
u10057,11455.7,1.32687,73.6696,50.7144,157.304,118.552,460.784,118.834,-0.0944999,1.83612,1.08629,3.45279
u10058,11615.1,1.20271,60.6702,70.289,135.986,113.067,406.646,115.064,-0.281157,-0.157737,-0.371463,0.293253
u10059,11084.7,1.05649,62.5448,66.3904,129.253,122.342,429.825,134.083,-0.571056,-0.673629,0.300612,0.17504
u1006,11837.3,1.04737,65.1989,64.2208,127.816,122.035,407.695,110.093,-0.279731,-0.775515,0.428487,-0.273422
u10060,12488.4,1.39731,74.1611,74.6674,151.063,108.11,450.596,71.1201,0.203653,1.44364,-1.13228,-0.451356
u10061,13201.7,1.02815,66.2409,69.1474,141.174,137.309,524.578,721.556,0.00109091,0.823208,3.61771,-1.50736
u10062,19773.4,1.11088,82.3045,77.8903,169.585,152.659,524.773,92.4555,2.10492,-1.06482,0.121272,-0.599407
u10063,12491,1.13249,76.4424,68.6958,143.588,126.79,463.817,101.692,0.048046,0.577851,0.668223,-1.42686
u10064,13394.1,1.18257,75.1315,67.31,144.392,122.1,442.858,104.713,0.308881,-0.248114,-0.29331,-0.0508462
u10065,11192.6,1.18779,65.937,58.2457,134.055,112.861,399.786,118.567,-0.441457,-0.276019,-0.410496,-0.13074
u10066,9378.27,1.16501,60.9604,61.0793,119.443,102.525,380.659,149.386,-1.13832,-0.356127,-0.170799,-0.741629
u10067,9602.36,1.30583,63.3052,55.109,131.683,100.843,384.921,98.5457,-0.974618,0.557783,-0.880259,-0.578835
u10068,6540.68,1.1658,51.7661,43.6237,99.6788,85.5025,309.44,149.761,-2.31229,-0.0493328,-0.316267,0.228719
u10069,13268.5,1.13777,71.9392,62.605,143.394,126.03,431.232,93.7903,0.22147,-0.647276,-0.245413,-0.193447
u1007,11939.2,1.02821,63.3194,63.3584,127.395,123.9,411.448,115.6,-0.266444,-1.04598,0.299529,0.135084
u10070,13376.9,1.24503,78.9289,64.9416,154.24,123.884,470.128,99.5648,0.350979,1.38214,0.484371,-2.00647
u10071,14407.1,1.14302,75.8412,68.1349,153.834,134.586,501.803,105.779,0.544772,0.572394,1.6269,1.90112
u10072,16331,1.09035,76.5802,78.9001,149.913,137.491,475.313,103.815,1.14323,-1.01728,-0.0413849,0.12902
u10073,12203,1.07514,63.144,68.7097,133.664,124.322,413.05,108.491,-0.150952,-0.867841,-0.100158,0.161288
u10074,12977.8,1.06922,67.4162,66.6022,135.323,126.562,427.902,116.687,0.100196,-1.00365,-0.169451,0.543033
u10075,15059,1.29696,81.7054,63.6005,158.56,122.256,476.88,93.4198,0.904372,0.0778079,-0.821635,-0.35368
u10076,11048.5,1.25363,68.2713,56.3587,137.301,109.523,430.756,109.706,-0.441216,0.229832,-0.698375,0.550392
u10077,10768.8,1.05032,60.9789,58.7578,123.189,117.287,383.653,84.6081,-0.677811,-0.980788,0.26423,-0.585981
u10078,13186.2,1.13878,69.4667,66.1739,140.576,123.444,424.773,77.065,0.229735,-0.371984,-0.117041,0.0244205
u10079,12356.8,1.014,64.0605,65.956,128.175,126.405,412.719,90.9952,-0.132114,-1.17096,0.294885,0.0593994
u1008,10555.6,1.07678,63.3918,59.4918,121.625,112.953,390.206,131.238,-0.73002,-0.711078,0.0423673,-0.109068
u10080,10045.2,1.16929,67.189,58.9004,125.562,107.384,389.927,159.485,-0.864356,-0.234204,-0.274256,-0.187648
u10081,13923.7,1.31401,65.2172,73.1856,154.693,117.726,449.153,100.942,0.531319,0.301652,-0.964815,-0.080567
u10082,11620.3,1.07435,62.7101,64.3833,129.185,120.245,403.155,107.158,-0.36111,-0.913214,-0.0111346,0.175069
u10083,14069.8,1.10071,72.4748,63.8992,143.245,130.138,441.119,90.2627,0.468777,-0.823625,-0.195901,-0.387577
u10084,14598,1.16169,70.0833,79.4016,154.259,132.789,456.073,82.2603,0.70035,-0.235854,-0.307517,-0.589773
u10085,11670.3,1.13081,67.8579,61.8765,133.808,118.329,403.169,95.9849,-0.301831,-0.554047,-0.414719,0.157684
u10086,9869.16,1.30932,65.1418,55.5954,134.226,102.516,384.519,125.827,-0.86005,0.338813,-0.938675,0.0932232
u10087,8616.08,1.19423,49.6735,56.9093,117.073,98.0318,348.889,71.2121,-1.42845,-0.141158,-0.388305,-0.397631
u10088,13799.1,1.09932,67.3754,70.4223,141.106,128.358,439.889,88.5957,0.37166,-0.933146,-0.119531,0.252722
u10089,11239.6,1.15906,65.9442,59.4904,130.876,112.916,400.75,128.212,-0.439667,-0.386419,-0.548957,-0.355556
u1009,10682.6,1.25287,62.8205,58.9498,134.093,107.029,395.958,127.12,-0.586241,0.00948616,-0.650569,-0.171105
u10090,14472.1,1.40252,74.766,77.2551,167.593,119.494,479.027,89.1659,0.853608,1.3909,-1.25879,-0.850291
u10091,12376,1.02442,65.608,63.3302,128.22,125.163,414.576,119.835,-0.124808,-1.17418,0.175837,-0.0503974
u10092,9926.46,1.05047,63.3671,60.8998,121.734,115.884,392.096,111.991,-0.981596,-0.300866,1.14827,-0.721249
u10093,14682.2,1.71394,96.3382,64.0928,199.247,116.251,541.709,93.7309,1.08957,2.88539,-0.501505,1.14021
u10094,10134.7,1.10341,62.5699,56.6135,121.52,110.131,390.025,114.002,-0.875731,-0.479533,0.158273,-0.474173
u10095,15714.2,1.1484,77.1617,68.4985,153.822,133.944,469.01,101.131,0.975396,-0.862509,-0.338633,-0.639053
u10096,10457.8,1.0268,58.5636,59.2102,118.267,115.18,387.727,111.652,-0.769133,-0.736019,0.452653,0.357174
u10097,15877.9,1.18145,85.5954,69.8899,161.729,136.89,477.257,102.037,1.10264,-0.227574,-0.447091,-0.0447883
u10098,11685.5,1.19179,66.2471,76.3618,144.075,120.89,433.561,123.49,-0.259768,-0.0993822,-0.137264,-0.0281399
u10099,11727.6,1.22899,61.6682,78.6906,148.412,120.76,437.022,131.595,-0.206277,0.0919417,0.105549,0.455126
u101,11489.7,1.11437,60.0123,61.7577,129.853,116.526,398.058,76.2314,-0.389252,-0.713428,-0.12447,-0.42221
u1010,14531.3,1.11984,72.6779,71.9229,147.015,131.282,467.699,105.239,0.615115,-0.203217,0.456519,-0.93469
u10100,9619.31,1.09076,58.3601,57.2384,123.36,113.095,392.704,129.502,-1.05946,-0.546979,-0.168378,0.40891
u10101,15361.5,1.23525,64.5585,81.4896,157.138,127.212,481.055,96.7982,0.889951,0.2522,0.609376,-1.17172
u10102,10502.2,1.16321,62.7818,54.6362,124.216,106.788,386.701,132.748,-0.709064,-0.419778,-0.400731,-0.0123882
u10103,7867.87,1.03388,55.4081,58.3162,109.666,106.073,358.096,152.063,-1.72199,-0.0583842,0.767884,-0.255902
u10104,11740.2,1.20403,66.6434,61.17,136.193,113.115,410.534,97.1784,-0.248014,-0.266212,-0.660512,0.00436314
u10105,15997.1,1.22676,84.4037,78.6422,177.082,144.349,581.695,138.216,1.09343,2.43652,2.64134,1.70437
u10106,13091.6,1.11431,64.6306,72.101,140.766,126.326,435.954,115.05,0.149815,-0.704641,0.201144,-0.383043
u10107,16510,1.03891,80.0372,81.4294,153.27,147.53,485.771,102.38,1.18424,-1.19747,0.535311,0.379751
u10108,11239.2,1.19515,64.6475,60.9037,133.795,111.948,423.43,147.526,-0.401974,-0.128942,-0.191218,0.353286
u10109,14092.6,1.2664,73.3865,68.6981,154.97,122.371,453.831,109.372,0.567599,0.0161675,-0.773234,-0.332694
u1011,10116.5,1.06195,60.3485,60.7277,120.695,113.654,384.525,128.182,-0.892118,-0.718967,0.1674,0.0798132
u10110,11169.1,1.38858,60.6705,70.9511,141.573,101.955,407.849,98.8988,-0.322463,0.626123,-1.58063,0.361517
u10111,10821.5,1.18146,59.999,62.6163,126.419,107.002,397.392,126.637,-0.592012,-0.408282,-0.458695,-0.0608814
u10112,12916.6,1.10052,70.3427,63.1504,137.202,124.67,427.828,90.8803,0.092496,-0.864962,-0.315378,-0.0288711
u10113,12572.8,1.06309,68.6541,64.788,134.346,126.373,419.415,125.965,-0.0352521,-0.913598,0.0745026,-0.0439567
u10114,11851.6,1.02886,63.4363,68.4722,128.994,125.375,416.145,134.01,-0.283657,-1.00192,0.043323,-0.00109181
u10115,11463.6,1.10997,65.7774,63.7913,129.03,116.246,406.99,133.011,-0.382119,-0.555063,-0.199508,0.392695
u10116,15477.8,1.28927,77.7917,72.5983,177.783,137.894,590.082,137.39,1.09669,0.613316,0.0265521,2.23614
u10117,15687.5,1.10264,79.9248,72.014,153.328,139.056,495.453,119.498,0.972468,-0.704259,0.0617577,0.195711
u10118,12224.4,1.31172,71.8219,59.3641,144.162,109.903,418.846,111.953,-0.0341256,0.157746,-0.960642,-0.49406
u10119,19125.4,1.21622,87.496,109.873,215.137,176.89,734.779,117.454,2.16151,0.394664,-0.298401,-4.18763
u1012,11778.4,1.04409,63.6062,64.1444,124.72,119.454,402.506,90.4368,-0.313023,-0.979164,0.0657713,-0.0741027
u10120,12153.3,1.08104,61.3991,66.4666,133.998,123.953,425.399,116.021,-0.120545,-0.146603,0.389247,-0.240233
u10121,11709,1.21455,57.5677,67.8144,133.24,109.703,405.594,83.6768,-0.255213,-0.239933,-0.56922,-0.206774
u10122,18809.1,1.30062,83.3034,84.8322,182.302,140.166,535.288,77.3038,1.98743,0.15899,-0.72602,0.574363
u10123,12326.4,1.25478,71.9399,59.3519,144.628,115.261,420.187,137.032,-0.0143504,-0.00312002,-0.659013,-0.0387922
u10124,13198.3,1.08799,63.6007,69.7824,138.995,127.754,428.961,106.091,0.17315,-0.901026,0.11016,-0.332229
u10125,17649.6,1.29123,97.8336,96.5952,215.055,166.551,670.125,73.4753,2.05776,2.49543,-0.2171,7.15605
u10126,10196.2,1.02892,59.5722,58.1846,118.627,115.293,376.82,108.555,-0.875851,-0.889718,0.310966,0.332836
u10127,15325.8,1.052,70.5998,71.5498,146.717,139.465,463.679,111.569,0.798643,-1.39044,0.193696,-0.610497
u10128,12525.7,1.06359,60.9981,67.5011,133.588,125.601,414.254,81.8295,-0.0514657,-0.967341,-0.121204,0.141592
u10129,11496,1.12085,64.7676,67.793,131.763,117.556,409.797,111.236,-0.362558,-0.471405,0.26464,0.264994
u1013,11906.3,1.49185,58.7651,87.0222,163.638,109.688,436.504,124.833,0.0524103,1.18669,-1.84126,0.316635
u10130,9286.16,1.21928,61.9799,50.7422,123.644,101.408,360.224,79.7386,-1.14185,-0.117586,-0.628857,-0.382474
u10131,13803.8,1.13492,65.8742,77.9862,148.475,130.824,451.776,103.935,0.39666,-0.639141,-0.0584207,-0.374017
u10132,9306.73,1.13124,53.2762,57.3829,120.887,106.862,372.593,138.487,-1.14671,-0.228556,-0.320126,0.648153
u10133,12696.4,1.209,66.2029,65.2526,140.168,115.937,423.476,118.042,0.067135,-0.260789,-0.599897,-0.384412
u10134,12724.7,1.15572,64.4275,66.6777,139.466,120.674,422.289,90.8085,0.068276,-0.420597,-0.424647,-0.521537
u10135,15603.1,1.06981,70.5598,85.0305,163.584,152.909,549.128,98.8662,0.88401,1.0636,3.05977,-0.163491
u10136,13469.1,1.31065,71.2042,76.5157,165.848,126.539,497.3,119.942,0.440637,0.573761,0.0223897,-0.537136
u10137,8817.99,1.06563,54.325,57.3487,112.536,105.605,354.065,121.939,-1.39607,-0.717582,-0.0877221,-0.0485821
u10138,12374.5,1.02276,65.8446,64.3067,129.782,126.894,417.381,118.506,-0.122736,-1.13202,0.415456,-0.0301522
u10139,11976.9,1.10165,66.1544,64.034,132.297,120.09,409.107,117.431,-0.222646,-0.760566,-0.145487,-0.231437
u1014,10357.5,1.07329,61.4303,56.468,121.427,113.136,384.862,115.58,-0.804656,-0.775167,0.0725313,-0.18042
u10140,10617.8,1.04557,62.7451,59.5995,121.404,116.112,390.541,111.261,-0.710838,-0.799246,0.0710819,0.214088
u10141,18025.4,1.11401,79.2569,80.1488,162.958,146.28,503.855,107.443,1.63295,-1.06716,-0.190085,-0.0912874
u10142,11338.9,1.08015,64.4225,59.8085,128.066,118.563,400.633,120.579,-0.451443,-0.755771,0.00979817,-0.319114
u10143,11633.4,1.12046,63.2024,62.2067,130.239,116.237,404.879,108.165,-0.334876,-0.684615,-0.255645,-0.19862
u10144,15296,1.12884,75.087,64.3457,151.449,134.164,466.934,115.531,0.853859,-0.252288,0.672166,-0.18966
u10145,11338.7,1.9078,72.4474,69.7658,177.717,93.153,518.939,113.399,0.122417,2.9586,-1.9373,1.10537
u10146,9837.23,1.48002,65.0778,47.5797,136.122,91.9732,385.912,95.0208,-0.787046,0.937564,-1.59281,-0.615876
u10147,10448.8,1.17641,67.5735,60.1693,129.46,110.046,404.743,84.8623,-0.692023,-0.0437785,-0.473208,-0.531133
u10148,8426.43,1.02613,55.9233,53.7736,109.564,106.773,349.086,131.379,-1.55573,-0.69651,0.195927,-0.00936819
u10149,12041.1,1.24142,71.3094,69.7292,152.5,122.843,512.19,102.164,-0.306604,1.76709,2.20573,-2.45525
u1015,13346.9,1.18465,68.0918,72.071,142.88,120.61,432.227,88.6234,0.279874,-0.437859,-0.560333,0.192634
u10150,7638.71,1.23399,53.3557,50.4392,110.881,89.855,331.27,97.5129,-1.79816,0.147578,-0.386833,0.277904
u10151,11038,1.12331,61.8021,61.4688,132.437,117.898,408.663,122.04,-0.561513,-0.806348,-0.0127063,0.642714
u10152,7050.13,1.36844,44.1728,58.6208,115.95,84.7314,330.739,117.888,-2.00753,0.535524,-1.20998,0.00864829
u10153,14872.2,1.26351,74.0391,68.4942,156.636,123.969,455.703,82.9152,0.787824,-0.242438,-0.985121,-0.337065
u10154,9731.93,1.22383,53.871,65.5141,127.616,104.276,376.671,98.023,-0.966509,-0.0623303,-0.724057,-0.51104
u10155,14427.3,1.40008,64.1209,80.7106,162.387,115.984,470.737,132.403,0.747982,0.622466,-1.16625,-0.586234
u10156,9516.99,1.43596,53.8871,58.9793,135.363,94.266,389.632,109.869,-0.942677,0.84098,-1.33441,-0.218429
u10157,11519.9,1.27313,64.0988,72.6766,144.846,113.772,424.25,149.448,-0.282474,0.045837,-0.804199,0.460715
u10158,12848.5,1.11286,72.3495,64.8386,136.714,122.85,437.597,132.605,0.0858723,-0.297653,0.505552,0.384591
u10159,14765.4,1.04133,71.6663,69.888,139.137,133.615,452.867,97.3674,0.646296,-1.09618,0.43337,0.0585569
u1016,14018,1.17553,72.8997,67.3411,148.315,126.168,451.076,96.4493,0.496206,-0.475936,-0.621639,0.555022
u10160,14113.1,1.17972,64.8988,73.5317,149.465,126.695,451.024,90.3485,0.521608,-0.43259,-0.513997,-0.173742
u10161,11942.2,1.18712,69.4257,61.6923,138.276,116.481,417.588,146.566,-0.188406,-0.4055,-0.619997,-0.119887
u10162,16058.8,1.13911,76.7523,73.7533,153.763,134.986,470.194,90.7743,1.1002,-0.605883,-0.027288,-0.35195
u10163,13299.2,1.20349,68.6618,65.5392,142.226,118.178,431.152,102.733,0.262577,-0.331862,-0.473546,0.00964879
u10164,9554.24,1.15606,61.2912,55.7656,123.255,106.616,376.154,107.146,-1.04553,-0.0680066,-0.0601404,-0.0431188
u10165,12169.7,1.24117,64.6959,64.5392,139.333,112.26,422.486,77.8903,-0.0609439,0.268044,-0.456394,-0.46088
u10166,11770.9,1.08838,80.9961,81.0281,156.663,143.941,546.295,130.325,0.000396023,0.71911,2.68826,0.314352
u10167,17530.4,1.35174,76.4126,92.4407,183.184,135.517,538.301,99.556,1.6512,1.01662,0.229026,0.278997
u10168,13182.8,1.04173,68.1765,64.3478,133.385,128.042,425.168,103.099,0.147778,-1.09409,0.221506,-0.293505
u10169,10799,1.20596,57.3452,66.8421,131.187,108.782,392.925,121.137,-0.571129,-0.236877,-0.747575,0.206349
u1017,13266.3,1.13373,71.3156,64.1511,140.838,124.226,430.1,119.26,0.224481,-0.65321,-0.399348,-0.254579
u10170,10366.6,1.09067,60.9843,54.1241,123.252,113.006,379.771,107.796,-0.790007,-0.733504,-0.35812,0.134122
u10171,12549.3,1.24431,78.2538,61.1771,154.023,123.782,440.027,90.653,0.0847541,0.113042,-0.17072,0.812074
u10172,8709.2,1.22463,52.5731,59.974,127.362,104,409.381,202.929,-1.30262,0.454076,-0.261223,1.16571
u10173,14483.8,1.01302,70.3412,73.7424,141.969,140.144,451.918,112.698,0.544112,-1.37383,0.542646,-0.167163
u10174,14119.9,1.12544,65.4035,71.6293,143.669,127.656,450.339,116.746,0.494139,-0.727724,-0.357757,-0.204126
u10175,9894.37,1.07751,61.5608,56.2953,118.473,109.951,389.048,137.719,-0.967678,-0.627968,-0.0742737,-0.159523
u10176,15205.9,1.20907,80.9453,66.0185,158.418,131.025,463.796,82.6451,0.867375,-0.416358,-0.597071,0.0093724
u10177,13274.8,1.17519,77.8997,67.9388,147.489,125.502,471.914,108.758,0.271545,-0.130777,-0.108387,0.0138023
u10178,11397.1,1.48043,56.7716,75.1565,149.28,100.836,418.399,130.84,-0.230165,0.757866,-1.77985,-0.523078
u10179,14882.6,1.15358,67.0643,78.4022,153.915,133.424,469.894,105.186,0.739334,-0.714015,-0.245224,-0.356172
u1018,10839.3,1.12131,65.5481,61.2783,127.9,114.063,412.702,127.673,-0.591516,-0.511623,-0.0366448,0.767409
u10180,12868.6,1.03543,71.5652,70.7295,137.476,132.773,436.613,122.168,0.0594788,-0.857874,0.536946,-0.678893
u10181,12250.9,1.04865,62.8941,66.2821,130.862,124.79,418.699,143.308,-0.151394,-0.902588,0.563611,-0.424087
u10182,15549.2,1.12802,68.2804,79.8074,151.37,134.191,479.39,93.3498,0.934538,-0.502579,0.191356,-1.55055
u10183,13955.6,0.976601,70.3355,69.3314,135.551,138.799,477.035,153.96,0.375674,-0.571928,2.06598,-0.726573
u10184,13771.2,1.2481,70.9278,76.7977,169.514,135.818,546.629,157.649,0.506673,1.44453,1.84748,-3.5412
u10185,13993.2,1.32309,62.2949,76.9456,157.154,118.778,451.915,109.243,0.558859,0.167003,-0.866406,0.00575366
u10186,10345.7,1.22416,78.3201,63.8033,141.769,115.809,456.08,101.724,-0.597707,0.891553,-0.715321,-0.153621
u10187,15578.1,1.09296,70.502,76.0493,151.212,138.351,466.82,107.689,0.913584,-1.03644,-0.0164489,-0.157177
u10188,15891.7,1.21423,70.5761,78.8057,160.682,132.332,472.377,71.919,1.11975,-0.0418209,-0.492829,-0.0751057
u10189,13870,1.05126,69.7245,68.9307,138.166,131.429,437.685,98.3292,0.381459,-1.0634,-0.0616509,-0.260875
u1019,13718.2,1.09028,69.505,64.8184,140.754,129.099,437.359,123.627,0.335178,-1.00073,-0.0204285,0.026589
u10190,7178.07,1.0933,55.132,47.0105,113.973,104.247,388.653,158.172,-2.09467,0.209164,0.498198,2.04448
u10191,13517.8,1.04379,69.1623,66.1935,138.09,132.297,441.231,116.688,0.272599,-1.00623,0.066494,0.38008
u10192,15247.3,1.29072,81.1707,73.3842,162.008,125.518,469.314,90.4978,0.967364,0.279469,-0.937034,-0.183966
u10193,13494,1.3899,63.9916,82.3484,158.047,113.711,458.008,120.851,0.423416,0.429958,-1.20729,-0.18597
