Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8
p10077,-68.8085,-13.5033,2.4222,-16.9818,7.98878,-12.1954,-9.71123,0.671659
p10078,-155.951,58.8799,-100.123,10.2165,-0.8442,15.3317,2.51823,-4.17005
p10079,29.4095,-48.3418,4.05979,-1.31207,4.26322,-8.98846,0.219699,5.1916
p1008,-7.4892,-17.4872,3.02481,-4.48899,-14.7155,-2.60139,-7.71363,2.69225
p10080,42.1352,-28.5398,4.95213,-4.73657,-6.0005,17.5907,-8.36257,-12.6728
p10081,115.465,-29.5664,16.2163,0.731229,-9.64244,7.58615,-0.764801,-1.25164
p10082,5.34505,-19.621,5.56418,-0.115487,17.4744,-7.2889,4.28305,-2.67762
p10083,-23.6482,-6.7047,24.5145,-9.80363,-3.79339,-3.00536,-1.95336,-0.292963
p10084,-121.673,102.255,-91.7966,57.4506,-39.8407,-44.2345,7.12616,-0.625453
p10085,-80.7496,-7.54403,11.4283,-8.8915,-2.59869,-4.93601,4.68194,0.222782
p10086,40.5514,-1.96309,2.07438,60.4865,64.1796,-9.05416,24.6296,1.91739
p10087,84.9171,-54.9098,-7.64234,-5.33543,-0.791054,-9.2688,-7.86717,-8.76006
p10088,-69.9282,21.4574,36.6788,-8.02662,-1.35686,-4.3894,0.0315291,11.8413
p10089,-150.704,15.5644,-70.5988,44.8796,37.8694,7.66525,8.51667,-27.6048
p1009,24.5573,36.062,-45.7821,-84.9845,-69.4625,-13.186,31.5516,-42.2261
p10090,80.9626,6.26255,19.0681,1.14893,19.2148,-9.27987,-15.0716,0.691293
p10091,112.95,-34.1855,4.95153,8.2359,-8.17262,10.975,-4.70491,2.77179
p10092,-28.3706,-11.6582,21.3518,0.0559782,12.3648,-5.55568,5.48263,-2.28468
p10093,-68.6693,-24.3454,0.625595,-16.4352,-9.74044,5.34938,-1.20395,11.1896
p10094,-29.3663,-24.9519,5.19342,-3.54858,0.214548,0.333972,-3.32801,7.87751
p10095,-1.09273,-21.2363,-6.22319,5.43079,2.43846,10.4125,12.8358,-16.1696
p10096,168.871,126.639,45.0775,6.89897,-8.8425,-60.7911,-39.1037,0.660193
p10097,122.129,-12.4208,19.4137,5.08846,8.95365,2.53681,2.24932,17.1247
p10098,-3.96281,-16.0566,12.7746,-26.4323,-17.4184,8.05431,2.84437,-12.4362
p10099,-9.5936,-16.5713,6.30244,10.3227,-7.67957,4.5129,-5.21677,5.25262
p101,48.1414,-22.4786,5.48041,-10.2227,-6.69028,-21.2768,-5.12569,-8.86917
p1010,-58.8549,-19.3932,1.39691,3.24284,-14.0088,2.52909,-1.26221,-0.51193
p10100,1.32259,2.52361,15.1997,26.2565,18.0703,2.14148,4.67759,9.23749
p10101,-16.0496,45.9794,37.5875,6.72563,31.1541,-5.13518,-16.136,-6.43664
p10102,135.994,-21.5864,12.1911,-5.47048,-2.07072,-8.26804,-8.37165,1.54544
p10103,7.13479,-37.2148,-12.1965,-1.40691,4.70515,-11.7938,1.86467,10.797
p10104,-24.1953,-29.9699,-6.66388,7.69914,22.2071,-10.4824,-3.56917,9.16953
p10105,86.9121,74.1867,36.4956,83.3212,9.07143,-34.8508,17.6936,29.5439
p10106,-15.8189,8.21571,12.516,-1.96637,31.4153,1.12241,-10.9978,-0.879123
p10107,-130.599,72.7539,-52.328,54.0059,-23.6515,-27.7645,21.4083,-6.64135
p10108,-53.9983,-13.1548,-10.1029,-5.92739,-2.99884,4.60151,1.72287,-6.93869
p10109,42.8495,11.2633,27.0186,0.0548613,-1.4117,11.2229,-2.20687,-1.94272
p1011,-56.5793,-40.0559,-6.48559,-0.495429,1.72063,-0.352228,1.94451,-6.61692
p10110,-34.9461,-41.0297,-2.45392,-1.17325,0.110723,-3.17243,-0.819939,-1.29867
p10111,108.346,-47.2356,0.0276992,-2.56416,18.3999,-8.53956,-8.05994,-4.48246
p10112,14.72,-26.2637,-7.92228,6.26557,-6.53061,3.77876,-3.46973,9.32565
p10113,98.5586,55.3682,-22.8449,74.9278,23.731,-31.6685,24.2908,6.83381
p10114,85.1745,-36.0811,-38.7571,38.9939,11.4208,2.09345,-17.2153,-6.18985
p10115,-43.8634,-4.66155,-19.8368,-8.22851,-28.9321,-4.52589,9.66443,-13.0167
p10116,-25.4773,12.2307,9.51276,-4.11079,-10.2825,-6.00239,-7.21915,2.65813
p10117,-62.8922,3.41656,-33.8524,1.09519,-0.454794,-7.57749,6.70952,-14.9481
p10118,-22.2329,-34.6023,-0.0737661,-1.67126,-1.5633,7.73868,-3.12261,6.41268
p10119,-53.141,-29.774,-13.1281,13.0236,-2.63251,-2.82712,7.94792,-3.97651
p1012,-95.0213,8.5541,7.37184,-12.0794,3.99435,-4.84204,1.78652,-2.49836
p10120,-137.771,-9.89849,3.08737,-3.14601,-0.581353,4.84973,-0.605686,-12.7157
p10121,139.059,-33.3614,3.12118,6.97989,7.56775,8.60724,-20.2853,-8.25794
p10122,-138.904,1.08634,-16.5154,-5.56916,3.82214,-25.0841,5.0556,1.12221
p10123,-84.0815,19.1451,28.6744,12.4989,11.8782,-6.81088,-15.209,-2.79228
p10124,-57.5321,40.4576,23.5479,29.1495,2.18204,-12.0465,6.92091,7.20493
p10125,50.1148,-9.74337,-70.8622,9.03593,6.50326,14.659,2.24864,-2.5492
p10126,-30.6468,-39.445,-2.68405,3.39906,-2.56752,-4.7329,2.97842,-4.41848
p10127,3.28185,34.0486,33.2157,2.67296,25.8895,0.945056,14.7372,-0.536593
p10128,-23.5232,11.138,-29.0302,4.13563,12.455,11.7106,14.2282,-2.47837
p10129,15.3515,-34.8444,-13.5486,12.0623,-10.8962,14.2184,-2.12606,4.36742
p1013,329.081,14.1817,-109.774,33.1458,-55.4524,15.8211,32.1899,-26.5502
p10130,-33.5516,51.9784,-17.684,-15.3019,6.5384,38.9655,-26.0072,-0.0301813
p10131,-75.6031,31.3902,-24.8743,-2.498,-11.1841,-5.73941,-14.258,-14.5778
p10132,-75.3831,-6.65889,-16.1925,-10.6474,-17.8478,1.17389,5.92876,-11.4886
p10133,-8.93841,-35.7638,-1.75367,-2.63085,2.50403,-9.61284,-6.19972,-2.88636
p10134,-23.8448,159.652,-17.9718,34.1985,3.09781,-29.6132,-34.5593,-11.1787
p10135,55.1445,-15.1929,8.798,-14.5616,-5.01503,-0.107062,-4.38057,-14.8279
p10136,5.80133,-21.8481,4.00851,-18.7115,10.1401,4.89073,-3.91087,-9.60428
p10137,-24.873,-38.889,-12.8912,-24.4284,-13.8471,-6.41589,-4.92454,1.51088
p10138,-33.1263,-28.0808,5.80053,1.67947,-1.35178,2.99327,2.23831,5.38934
p10139,8.68916,-19.9938,16.6186,4.21176,0.70549,5.06912,-2.81613,2.34685
p1014,-10.9126,12.1495,20.9038,-2.1752,13.5667,1.49731,3.87024,-1.84411
p10140,-56.7442,-25.043,-2.89482,-34.7767,5.95374,-27.2914,2.75351,-12.0233
p10141,36.0199,-18.4342,-45.051,-13.477,-1.92819,13.2963,0.740473,7.59879
p10142,-47.1629,-31.0434,3.61109,-2.08829,-1.90193,0.434346,1.19044,9.17741
p10143,-12.5294,-28.5393,-10.7229,6.23801,-16.2241,5.99902,-4.65065,9.52654
p10144,57.8792,35.4089,30.9398,7.82063,-13.4414,-15.9925,13.4868,-0.325514
p10145,61.0908,-14.044,-5.14609,-30.9314,6.86084,-14.011,2.48251,18.5453
p10146,96.6526,33.6119,32.3894,-14.8621,-12.8218,-30.7789,-21.6036,13.5823
p10147,19.2212,22.841,36.7,-7.35464,-15.1598,2.18463,-2.51944,17.8251
p10148,-28.3528,-2.26686,12.1498,12.6267,-9.74231,-10.5973,11.1028,0.392163
p10149,-72.6414,37.2707,0.984766,-15.7288,34.8409,-30.0485,12.8121,23.0636
p1015,-171.457,-13.727,0.0391048,-22.1393,-13.7492,-1.79767,5.69043,5.51067
p10150,97.2789,-34.558,-9.37975,13.397,9.08673,0.764611,6.31758,11.7341
p10151,72.8991,3.85541,21.5784,3.16059,-9.33265,16.9434,-9.64641,11.2377
p10152,57.3577,-29.9696,-21.2061,26.1208,4.28012,7.49742,-6.66944,2.79539
p10153,98.6161,13.6974,-19.8605,-10.8249,-4.27397,39.321,19.0609,14.5045
p10154,37.5463,35.401,42.9804,2.35049,7.32087,14.729,-2.75014,-16.3316
p10155,31.183,-43.9898,-17.6768,-9.76197,5.09111,-11.4761,5.34821,-5.1121
p10156,39.4346,0.572167,21.7433,8.4644,-21.4512,7.34591,3.31672,-5.80683
p10157,68.2616,-40.0523,-2.95877,11.0779,8.68772,-0.906711,-0.966377,1.46634
p10158,36.4226,6.05657,-52.2655,2.4737,-19.653,0.964167,-14.5624,-7.80581
p10159,309.417,39.0319,24.8071,-4.59424,66.561,-38.8601,-3.75565,0.532786
p1016,-50.4464,-12.8161,-7.61393,3.68094,-3.7785,-6.08551,4.9173,-9.70435
p10160,20.0927,10.1732,-16.7361,33.7821,-5.2025,13.1358,30.0447,-1.79716
p10161,-116.047,-15.929,4.7364,-5.84937,4.11519,-10.0313,7.51839,4.82957
p10162,-47.1479,-26.4848,7.13971,13.2509,2.79738,7.65015,4.02719,-4.91707
p10163,-75.1082,-9.83191,19.8904,2.79259,-4.96226,-2.64369,-2.2466,5.13719
p10164,79.6979,-3.24804,-66.6684,9.28785,-12.2508,19.4472,-27.0296,-7.50248
p10165,24.8003,-0.967617,4.71439,-8.0743,19.522,7.52889,4.25147,1.70245
p10166,-21.3797,-39.1044,-0.777142,2.3238,2.37238,5.62244,-5.75126,-1.92552
p10167,-97.4175,-12.2957,5.93512,0.422567,-9.40869,4.62444,13.5356,-2.5319
p10168,79.771,64.6012,83.489,-2.22298,-11.467,11.4908,-8.18009,4.19866
p10169,-40.8528,6.17049,14.7041,7.81036,10.9609,6.5229,6.60911,7.24037
p1017,13.4389,-1.54451,-17.0323,1.94369,-8.3786,11.7449,-13.9358,-7.94262
p10170,-31.1154,-32.4106,-16.191,3.28668,-1.79141,11.5313,-11.0597,3.38204
p10171,116.029,-31.1326,0.531558,20.2564,-1.54779,7.04522,-0.968349,4.60196
p10172,-245.423,19.3484,-5.41304,0.701274,5.1421,-10.9809,4.14265,-8.37656
p10173,-28.8402,17.2338,34.2372,5.31064,-0.410966,19.1831,-1.16259,-9.92957
p10174,-1.5661,-30.2947,4.82644,19.5184,12.8452,-7.02686,1.18033,-10.4776
p10175,179.202,33.5904,-132.454,48.307,-46.8203,-8.60567,-10.0183,-35.0605
p10176,-16.3537,96.8852,-138.43,42.212,42.2061,-47.9299,-20.5766,-33.0943
p10177,95.9202,-1.00218,23.3469,7.07415,0.732673,0.817795,6.57817,-3.40407
p10178,-59.5019,6.61541,-20.6544,7.29076,8.60594,-13.0476,11.7102,9.08199
p10179,-79.3011,80.1067,-20.4773,-15.1299,27.5676,37.8135,-17.5333,11.1705
p1018,34.1281,-39.8268,-23.9829,-9.13217,-15.3454,-0.487233,10.5721,-1.1824
p10180,-44.0944,-31.5053,-9.13408,-14.8337,-12.7622,-1.34331,-8.36088,0.354032
p10181,-88.1811,33.0004,24.3417,-9.15657,2.42597,2.16728,1.7961,-5.15947
p10182,76.2515,-14.6718,18.1441,-3.02556,-4.44298,6.90185,-2.86903,0.00321681
p10183,149.751,99.8249,38.259,32.0471,-1.0693,35.4563,33.9239,3.87388
p10184,88.9457,124.88,-48.9512,52.1078,-50.4036,21.256,-10.9081,16.4473
p10185,-161.53,92.039,-47.3339,34.8383,-16.8239,-16.1801,-54.823,-0.852015
p10186,111.373,160.063,47.3671,49.0998,4.12406,-5.91913,-43.2375,-13.528
p10187,0.335015,66.5832,-8.00051,35.3844,-16.3641,-2.63679,-42.77,0.290702
p10188,31.2742,45.2763,-2.76337,-45.6244,27.2038,8.60623,-16.2332,-14.3472
p10189,150.799,-48.0088,5.66399,0.537061,-0.178779,-0.623611,4.51445,1.97613
p1019,-11.6984,-11.5068,-7.87996,-11.4002,14.6167,-24.2215,2.58566,14.4821
p10190,17.8409,6.43663,2.98798,18.9122,-3.06126,-16.0058,-0.0182426,-16.9364
p10191,-3.34002,11.2745,39.229,10.0723,-11.355,-2.1385,0.0618136,-0.611731
p10192,-72.6584,92.1828,-31.526,-1.69806,49.0552,33.1877,4.9389,35.6601
p10193,79.1944,30.1748,-109.904,-46.8036,-16.2761,4.14493,7.91292,0.193577
p10194,50.3039,2.03652,23.5351,2.36496,-5.39555,13.3359,0.985945,1.07629
p10195,-86.4029,94.4874,-105.055,50.265,-31.4976,-29.8671,14.6005,-10.3882
p10196,44.4412,7.27611,24.3499,23.6089,-19.5471,-3.54886,2.24214,8.49242
p10197,41.0588,94.3392,-23.8627,-43.746,-83.3105,8.79297,85.7928,-0.171691
p10198,-86.8679,8.26131,28.8589,-12.2268,-8.88458,-8.6545,6.35878,-6.25375
p10199,11.3451,-17.7106,-36.2918,20.0099,15.7297,-9.1388,-1.93645,-12.8407
p102,338.848,81.6911,-26.0939,-23.3904,74.9228,-11.8041,62.036,-7.13337
p1020,5.00446,-31.3541,-0.82165,-8.68009,1.13514,-7.79454,-8.72917,-0.730522
p10200,115.177,-10.755,-10.3999,10.24,17.9664,-5.10602,21.6638,5.53159
p10201,35.2405,-13.6937,19.5999,5.02639,-0.133626,0.368235,-8.25644,-5.44887
p10202,-32.1271,45.1056,-76.3646,29.9854,-15.401,6.96785,6.22011,-16.0403
p10203,88.2026,9.88871,-1.0513,-44.7551,-8.41402,-10.2146,34.7232,25.6525
p10204,-69.1327,-35.3532,0.768825,8.83015,6.7692,0.714557,-3.18744,8.49994
p10205,-15.134,-23.6583,-1.00502,1.28266,2.35164,1.44745,-2.71472,-2.62993
p10206,141.361,51.1684,75.4075,32.2948,8.49623,22.4767,3.76883,-4.29588
p10207,-13.8417,-3.19652,10.6211,-18.877,-1.28072,13.957,-21.2811,-1.82793
p10208,-7.83221,-6.46213,-28.9234,20.6336,-38.8144,-9.62135,8.58704,-7.33978
p10209,18.958,74.8642,28.9965,0.173652,34.8687,20.2558,8.62781,4.58107
p1021,-95.421,-30.951,-8.15025,-1.66188,-5.95531,5.6509,-0.36417,0.333498
p10210,-10.3008,-31.4743,5.26413,3.79628,2.33313,2.46204,-1.7407,4.2437
p10211,88.5353,51.9052,59.312,5.73633,10.2377,16.7481,-10.5094,4.94033
p10212,73.9572,-24.9496,3.29744,-0.155333,-17.6305,-9.46077,-4.38281,-0.911586
p10213,191.855,83.8034,66.9435,-18.8266,-27.363,6.64006,30.9599,-30.2598
p10214,-23.1536,-25.7491,5.48012,5.10765,-13.4869,0.275627,2.30776,-6.66102
p10215,74.8281,-10.3143,21.4226,3.21298,17.5244,-21.8022,26.7146,4.16106
p10216,-55.5652,-7.29008,18.9141,1.44687,-1.98114,-3.5524,7.61789,7.41201
p10217,64.8178,-23.6635,12.9192,13.2445,22.2486,-10.1296,1.33181,-21.4017
p10218,45.2064,2.56581,-25.9964,-30.2567,-10.9526,10.7308,6.07502,1.35002
p10219,-33.1601,-34.3014,2.82656,4.58129,-5.99834,0.00236407,-0.900797,-0.183478
p1022,10.3507,-2.0631,25.5281,7.81502,14.147,-8.13534,1.22386,14.0996
p10220,-31.1932,8.33383,3.7872,-2.70368,-21.9228,-0.829152,-0.207409,9.56422
p10221,-148.449,-14.8086,3.6607,-9.58036,-2.19327,-0.922994,3.21351,-5.16034
p10222,-20.8796,85.1687,-42.3208,-32.5086,-26.1393,29.5211,36.8783,-1.31576
p10223,-146.992,-15.6036,7.33249,3.42166,14.3774,-15.7744,19.425,2.92726
p10224,38.2405,-50.5878,-7.87611,-9.11602,0.764992,0.164399,-17.6548,2.61042
p10225,-49.3137,-30.5969,-16.1967,2.43378,5.24681,-4.51948,12.5523,-11.8488
p10226,-47.9988,-32.3676,-12.1669,19.4044,10.0929,6.33333,4.48369,5.96788
p10227,-86.3799,-24.4084,1.71776,0.219681,-6.738,-0.897537,0.00531327,5.92251
p10228,-59.4891,-8.76061,-5.89958,1.12909,11.6996,11.3578,2.24218,-5.69298
p10229,99.4819,-21.86,-11.8459,33.29,-11.9841,-4.54497,-15.3342,-1.32707
p1023,-153.316,-5.32504,1.01849,-4.40534,-2.25474,-3.58651,3.94708,4.00444
p10230,-69.23,-9.27294,-8.26754,-9.71344,15.7552,-20.5216,-4.58957,12.7604
p10231,12.4842,-7.43758,13.8606,-4.12155,-1.30756,2.18372,5.82966,9.28333
p10232,55.7537,-56.2369,-11.2495,-4.75178,-3.34776,-0.90964,-4.26525,11.6139
p10233,31.1479,55.7095,60.7569,10.4199,2.04618,14.4188,14.2846,-14.816
p10234,-43.8054,28.5381,8.22803,-5.23289,10.2106,1.56674,-7.46966,-7.42572
p10235,74.1797,-42.4391,-22.6433,6.52253,-6.59578,-1.65458,-4.37616,-18.7104
p10236,-169.256,15.9461,3.48058,2.65828,-2.08679,-6.59458,-4.67664,9.74087
p10237,36.9607,-36.1786,-25.355,-3.28124,3.83355,-6.52709,-0.351813,2.9389
p10238,1.27693,-14.2526,-5.9366,-20.3481,22.0594,-11.8212,-15.6415,-0.144537
p10239,5.98574,-36.0933,-5.76067,17.3991,15.6108,-0.0656164,14.2641,0.833328
p1024,-28.4502,-35.5987,-3.19463,3.05261,-0.601231,-3.88389,-2.1817,6.30781
p10240,-44.3693,-20.4518,-8.01479,-6.43207,4.68649,-4.39154,-0.813764,-7.39822
p10241,-50.8106,59.7633,31.4289,16.0482,-35.7075,19.1906,-24.8796,12.671
p10242,-29.0217,-19.7543,-7.78535,10.0355,-10.3228,4.19809,6.00738,-5.23174
p10243,-56.7573,-24.2799,-12.5308,-6.42328,14.7955,6.43581,-2.6589,-1.23859
p10244,-26.5405,33.6809,11.4367,-1.26591,21.2584,15.491,4.79114,6.11686
p10245,16.3372,-39.6739,-9.97185,7.05928,-10.3875,7.48716,-2.04144,5.8657
p10246,49.9569,-11.2194,-7.50607,-20.6893,-2.8656,3.23791,0.873309,-10.0282
p10247,-27.4344,-26.1879,-4.29815,-10.815,0.445129,-2.27252,-2.83737,-10.016
p10248,-79.9924,-19.9747,9.50005,1.04003,-1.1083,6.01413,-0.421204,1.67883
p10249,-1.59718,-34.4248,2.77178,-8.48499,4.71678,-8.61796,-6.97998,2.81807
p1025,-32.5772,-15.6501,13.4016,-16.3873,-6.73791,-4.60674,-4.8757,5.98057
p10250,-20.6002,-22.3165,-23.3277,8.13987,14.6328,2.25551,19.9761,-20.2673
p10251,-31.9302,-30.5013,-1.86152,-5.69783,-1.31035,-3.87921,1.13205,-0.647284
p10252,-78.4278,20.2126,-4.95986,-3.6235,-0.378432,-23.6967,-27.6449,3.68427
p10253,13.2271,-19.5413,9.74766,0.964068,1.51422,5.54403,5.54901,0.310374
p10254,-47.2893,63.6392,66.3212,-22.3206,2.81314,1.82106,-20.8322,-22.4554
p10255,100.402,-36.1626,-1.6466,3.93468,8.4032,0.316412,8.07452,11.8762
p10256,99.6289,-15.2692,10.7834,16.9527,3.74188,-8.48783,5.6989,-1.44257
p10257,-7.31565,63.5617,-56.4882,0.684055,20.4164,-31.9248,1.24501,-8.67324
p10258,61.0002,1.86372,33.992,5.97883,-19.5199,-15.3097,7.29776,2.74012
p10259,40.7418,-32.0112,-41.304,9.24827,-13.6324,-6.72242,5.91312,-4.73692
